paper_id_or_gap_id	publication_type	peer_review_status	venue_exact	issn	venue_family	venue_rank_scheme	venue_rank_value	venue_rank_year	rank_evidence_id	crossref_type	notes
P0178	book-chapter	peer_reviewed	Lecture Notes in Computer Science; Service-Oriented and Cloud Computing							book-chapter	catalog evidence; publisher_deposited_crossref_metadata
P0179	proceedings-article	peer_reviewed	Proceedings of the 52nd International Conference on Parallel Processing		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0180	proceedings-article	peer_reviewed	Proceedings of the Annual conference of the ACM Special Interest Group on Data Communication on the applications, technologies, architectures, and protocols for computer communication		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0181	proceedings-article	peer_reviewed	Proceedings of the 2016 ACM SIGCOMM Conference		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0182	proceedings-article	peer_reviewed	Proceedings of the 44th International Conference on Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0183	proceedings-article	peer_reviewed	IEEE INFOCOM 2020 - IEEE Conference on Computer Communications							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0184	proceedings-article	peer_reviewed	Proceedings of the 20th ACM SIGKDD international conference on Knowledge discovery and data mining		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0185	journal-article	peer_reviewed	Proceedings of the ACM on Software Engineering		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0186	proceedings-article	peer_reviewed	19th USENIX Symposium on Networked Systems Design and Implementation (NSDI 22)								catalog evidence; primary_page_citation_tags
P0187	proceedings-article	peer_reviewed	Proceedings of the 27th International Symposium on High-Performance Parallel and Distributed Computing		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0188	proceedings-article	peer_reviewed	12th USENIX Symposium on Operating Systems Design and Implementation (OSDI 16)								catalog evidence; primary_page_citation_tags
P0190	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0191	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0192	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0193	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0194	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0195	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0196	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0197	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0198	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0199	proceedings-article	peer_reviewed	Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0200	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0201	proceedings-article	peer_reviewed	Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0202	proceedings-article	peer_reviewed	Proceedings of The Web Conference 2020		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0203	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0204	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0205	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0206	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0207	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0208	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0209	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0210	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0211	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0212	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0213	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0214	proceedings-article	peer_reviewed	Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0215	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0216	proceedings-article	peer_reviewed	Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0217	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0218	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0219	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0220	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0221	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0222	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0223	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0224	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0225	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0226	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0227	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0228	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0229	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0230	proceedings-article	peer_reviewed	Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0231	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0232	proceedings-article	peer_reviewed	Proceedings of the 2021 ACM SIGIR International Conference on Theory of Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0233	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0234	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0235	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0236	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0237	proceedings-article	peer_reviewed	Findings of the Association for Computational Linguistics: ACL-IJCNLP 2021								catalog evidence; primary_page_citation_tags
P0238	proceedings-article	peer_reviewed	Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers)		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0239	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0240	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0241	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0242	proceedings-article	peer_reviewed	Proceedings of the 31st ACM International Conference on Information &amp; Knowledge Management		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0243	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0244	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0245	proceedings-article	peer_reviewed	Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP)		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0246	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0247	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0248	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0249	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0250	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0251	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0252	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0253	proceedings-article	peer_reviewed	Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0254	proceedings-article	peer_reviewed	Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0256	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0257	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0258	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0259	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0260	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0261	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0262	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0263	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0264	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0265	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0266	proceedings-article	peer_reviewed	Proceedings of the 6th Workshop on Representation Learning for NLP (RepL4NLP-2021)		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0267	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0268	proceedings-article	peer_reviewed	Findings of the Association for Computational Linguistics: EMNLP 2021								catalog evidence; primary_page_citation_tags
P0269	proceedings-article	peer_reviewed	2021 International Conference on Asian Language Processing (IALP)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0270	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0271	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0272	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0273	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0274	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0275	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0276	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0277	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0278	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0279	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0280	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0281	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0282	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0283	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0284	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0285	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0286	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0287	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0288	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0289	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0290	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0291	proceedings-article	peer_reviewed	Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP)		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0292	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0293	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0294	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0295	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0296	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0297	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0298	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0299	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0300	journal-article	peer_reviewed	Transactions of the Association for Computational Linguistics	2307-387X		sjr	Q1	2024	SJR2024-TACL	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0301	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0302	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0303	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0304	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0305	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0306	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0307	proceedings-article	peer_reviewed	Proceedings of the Fifteenth ACM International Conference on Web Search and Data Mining		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0308	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0309	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0310	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0311	proceedings-article	peer_reviewed	Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0312	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0313	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0314	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0315	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0316	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0317	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0318	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0319	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0320	proceedings-article	peer_reviewed	Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0321	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0322	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0323	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0324	proceedings-article	peer_reviewed	Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0325	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0326	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0327	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0328	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0329	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0330	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0331	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0332	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0333	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0334	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0335	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0336	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0337	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0338	proceedings-article	peer_reviewed	Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0339	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0340	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0341	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0342	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0343	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0344	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0345	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0346	proceedings-article	peer_reviewed	Thirty-First International Joint Conference on Artificial Intelligence								catalog evidence; primary_page_citation_tags
P0347	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0348	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0349	proceedings-article	peer_reviewed	Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0350	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0351	journal-article	peer_reviewed	ACM Computing Surveys	0360-0300		sjr	Q1	2024	SJR2024-CSUR	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0352	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0353	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0354	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0355	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0356	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0357	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0358	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0359	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0360	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0361	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0362	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0363	proceedings-article	peer_reviewed	Proceedings of the 31st ACM International Conference on Information &amp; Knowledge Management		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0364	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0366	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0367	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0368	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0369	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0370	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0371	proceedings-article	peer_reviewed	Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0372	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0373	proceedings-article	peer_reviewed	Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0374	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0375	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0376	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0377	proceedings-article	peer_reviewed	Proceedings of the 16th Conference of the European Chapter of the Association for Computational Linguistics: Main Volume		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0378	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0379	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0380	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0381	proceedings-article	peer_reviewed	Proceedings of the 23rd Conference on Computational Natural Language Learning (CoNLL)		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0382	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0383	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0384	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0385	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0386	proceedings-article	peer_reviewed	NeurIPS 2019								catalog evidence; primary_page_citation_tags
P0387	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0388	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0390	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0391	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0392	proceedings-article	peer_reviewed	Proceedings of the 40th International ACM SIGIR Conference on Research and Development in Information Retrieval		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0393	proceedings-article	peer_reviewed	Proceedings of the 29th ACM International Conference on Information &amp; Knowledge Management		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0394	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0395	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0396	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0397	proceedings-article	peer_reviewed	Proceedings of the 2013 Conference on Empirical Methods in Natural Language Processing		conference_journal_series						catalog evidence; primary_page_citation_tags; conference journal series; excluded from SJR Q1
P0398	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0399	proceedings-article	peer_reviewed	2010 7th IEEE Working Conference on Mining Software Repositories (MSR 2010)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0400	proceedings-article	peer_reviewed	Proceedings of the 20th ACM international conference on Information and knowledge management		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0401	proceedings-article	peer_reviewed	Proceedings of the 15th ACM SIGKDD international conference on Knowledge discovery and data mining		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0402	journal-article	peer_reviewed	IEEE Transactions on Knowledge and Data Engineering	1041-4347		sjr	Q1	2024	SJR2024-TKDE	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0403	proceedings-article	peer_reviewed	2015 11th International Conference on Network and Service Management (CNSM)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0404	proceedings-article	peer_reviewed	Proceedings of the 25th ACM International on Conference on Information and Knowledge Management		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0405	journal-article	peer_reviewed	IEEE Transactions on Dependable and Secure Computing	1545-5971		sjr	Q1	2024	SJR2024-TDSC	journal-article	catalog evidence; publisher_deposited_crossref_metadata
